journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Australian Journal of Management,Australian Journal of Management,SAGE Publishing,0312-8962; 1327-2020,A,2025,3.1,5.0,2025.0,0.778,Q1,57.0,3.96,2025
Australian Accounting Review,Australian Accounting Review,,1035-6908; 1835-2561,B,2025,2.8,3.1,2025.0,0.702,Q2,54.0,3.1,2025
Accountants Digest,Accountants Digest,,,,,,,,,,,,
Natural Language Engineering,Natural Language Engineering,,,,,,,,,,,,
The Accounting Review,The Accounting Review,American Accounting Association,0001-4826; 1558-7967,A*,2025,4.0,7.2,2025.0,4.403,Q1,217.0,3.71,2025
Journal of Management Accounting Research,Journal of Management Accounting Research,American Accounting Association,1049-2127; 1558-8033,A*,2025,1.5,2.1,2025.0,1.248,Q1,38.0,1.91,2025
Journal of Business Finance & Accounting,Journal of Business Finance and Accounting,Wiley,0306-686X; 1468-5957,A*,2025,2.6,3.5,2025.0,1.202,Q1,102.0,3.81,2025
Journal of International Accounting Research,Journal of International Accounting Research,American Accounting Association,1542-6297; 1558-8025,A,2025,1.9,1.7,2025.0,0.526,Q2,34.0,1.98,2025
Meditari Accountancy Research,Meditari Accountancy Research,Emerald Publishing Limited,1022-2529; 2049-372X; 2049-3738,A,2025,3.8,5.4,2025.0,0.974,Q1,59.0,5.94,2025
Accounting and Finance,Accounting and Finance,Wiley,0810-5391; 1467-629X,A,2025,2.6,3.6,2025.0,0.814,Q1,77.0,3.53,2025
Journal of Cleaner Production,Journal of Cleaner Production,Elsevier BV,0959-6526; 1879-1786,C,2025,10.7,11.0,2025.0,2.019,Q1,397.0,11.78,2025
"Accounting, Organizations and Society","Accounting, Organizations and Society",Elsevier BV,0361-3682; 1873-6289,A*,2025,4.5,5.7,2025.0,3.098,Q1,170.0,5.0,2025
Journal of Business Ethics,Journal of Business Ethics,Springer Science+Business Media,0167-4544; 1573-0697,A,2025,6.3,9.7,2025.0,3.138,Q1,304.0,10.35,2025
Journal of Banking & Finance,Journal of Banking & Finance,Elsevier BV,0378-4266; 1872-6372,A*,2025,4.0,4.7,2025.0,1.954,Q1,225.0,5.11,2025
The Routledge Handbook of Integrated Reporting,The Routledge Handbook of Integrated Reporting,Routledge,,,,,,,,,,,
International Review of Finance,International Review of Finance,Wiley,1369-412X; 1468-2443,A,2025,2.3,2.2,2025.0,0.636,Q2,35.0,2.96,2025
Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,RELX Group (Netherlands),0927-538X; 1879-0585,A,2025,5.4,5.6,2025.0,1.322,Q1,92.0,6.12,2025
Auditing: A Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,,0278-0380; 1558-7991,A*,2025,3.7,4.1,2025.0,2.32,Q1,111.0,4.48,2025
International Journal of Auditing,International Journal of Auditing,Wiley,1090-6738; 1099-1123,A,2025,2.7,3.1,2025.0,0.681,Q1,42.0,3.19,2025
Management Science,Management Science,Institute for Operations Research and the Management Sciences,0025-1909; 1526-5501,A*,2025,5.7,7.6,2025.0,6.428,Q1,321.0,7.69,2025
Accounting Forum,Accounting Forum,Taylor & Francis,0155-9982; 1467-6303,A,2025,4.1,4.3,2025.0,1.087,Q1,70.0,5.81,2025
Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Elsevier BV,1815-5669; 2352-3298,A,2025,3.3,4.1,2025.0,0.801,Q2,46.0,4.18,2025
